id;budget;genres;imdb_id;original_language;original_title;overview;popularity;production_companies;production_countries;release_date;revenue;runtime;spoken_languages;status;tagline;title;vote_average;vote_count;production_companies_number;production_countries_number;spoken_languages_number
9504;12500000;Crime|Drama|Mystery;tt0104348;en;Glengarry Glen Ross;Glengarry Glen Ross, follows the lives of four unethical Chicago real estate agents who are prepared to go to any lengths (legal or illegal) to unload undesirable real estate on unwilling prospective buyers.;0.726;New Line Cinema;United States of America;15/09/1992;10725228;100;English;Released;Lie. Cheat. Steal. All in a day’s work.;Glengarry Glen Ross;7.4;302;3;1;1
9506;75000000;Comedy;tt0305224;en;Anger Management;After a small misunderstanding aboard an airplane escalates out of control, timid businessman Dave Buznik is ordered by the court to undergo anger management therapy at the hands of specialist Dr. Buddy Rydell. But when Buddy steps up his aggressive treatment by moving in, Dave goes from mild to wild as the unorthodox treatment wreaks havoc with his life.;3.196166;Columbia Pictures;United States of America;11/04/2003;195745823;106;English;Released;Feel the Love.;Anger Management;5.9;846;3;1;1
9507;0;Thriller|Crime|Science Fiction;tt0088024;en;Runaway;In the near future, a police officer specializes in malfunctioning robots. When a robot turns out to have been programmed to kill, he begins to uncover a homicidal plot to create killer robots... and his son becomes a target.;0.236342;TriStar Pictures;United States of America;14/12/1984;0;100;English;Released;IT IS THE FUTURE. Machines are being programmed to turn against us. Someone must stop the madman who started it all.;Runaway;5.0;40;1;1;1
9508;0;Comedy|Drama;tt1037227;de;Whisky mit Wodka;A renowned actor named Otto is the epitome of the problematic but beloved ladies man. Even when drunk he still knows more about filmmaking than does the amateur who is directing him in his latest movie. But what should the unreliable star do when a local actor joins the crew as his understudy? Comic situations arise not only because of the well-known environment, but also from an inclination to authentically capture the various relationships.;0.289191;Senator Film Produktion;Germany;03/09/2009;0;108;Deutsch;Released;;Whiskey with Vodka;6.5;5;2;1;1
9509;70000000;Action|Drama|Thriller|Crime;tt0328107;en;Man on Fire;Jaded ex-CIA operative John Creasy reluctantly accepts a job as the bodyguard for a 10-year-old girl in Mexico City. They clash at first, but eventually bond, and when she's kidnapped he's consumed by fury and will stop at nothing to save her life.;3.285125;Regency Enterprises;United Kingdom;23/04/2004;130293714;146;English;Released;Creasy's art is death, and he is about to paint his masterpiece.;Man on Fire;7.3;1453;5;2;2
9510;67000000;Adventure|Comedy;tt1187047;de;1½ Ritter - Auf der Suche nach der hinreißenden Herzelinde;The story of Lanze who is in love with the princess. One day the princess is kidnapped by the Dark Knight and Lanze starts his journey to rescue her. But he is not alone because Erdal, a turk, joins him on his journey.;0.903711;SevenPictures;Germany;17/12/2008;0;116;Deutsch;Released;;1½ Knights - In Search of the Ravishing Princess Herzelinde;4.5;42;4;1;1
9511;0;Comedy|Romance;tt1343755;de;Zweiohrküken;Two years have passed. There is a normal life, but handsome Ludo meets his old love, and Anna is very jealous...;0.893679;barefoot films;Germany;24/11/2009;48720000;124;Deutsch;Released;;Rabbit Without Ears 2;6.1;95;1;1;1
9512;0;Drama|Comedy;tt0442903;de;Am Tag als Bobby Ewing starb;No overview found.;0.000581;Arte;Germany;19/01/2005;0;92;Deutsch;Released;;Am Tag als Bobby Ewing starb;4.0;1;4;1;1
9513;0;Animation|Comedy|Family;tt0455499;en;Garfield: A Tail of Two Kitties;Garfield is back and this time Garfield and his canine sidekick Odie follows their owner, Jon Arbuckle, to England, the U.K. may never recover, as Garfield is mistaken for a look-alike, regal cat who has inherited a castle.;2.841212;Twentieth Century Fox Film Corporation;United Kingdom;15/06/2006;141702264;78;English;Released;The Ego has landed.;Garfield: A Tail of Two Kitties;5.2;413;3;2;2
9514;0;Animation|Comedy;tt0118138;de;Werner - Das muss kesseln!!!;No overview found.;0.220607;Neue Constantin Film;Germany;27/06/1996;0;85;Deutsch;Released;;Werner - Das muss kesseln!!!;5.6;16;1;1;1
9515;10000000;Action|Comedy|Crime|Drama|Thriller;tt0365485;en;The Matador;The life of Danny Wright, a salesman forever on the road, veers into dangerous and surreal territory when he wanders into a Mexican bar and meets a mysterious stranger, Julian, who's very likely a hit man. Their meeting sets off a chain of events that will change their lives forever, as Wright is suddenly thrust into a far-from-mundane existence that he takes to surprisingly well … once he gets acclimated to it.;1.015168;Miramax Films;Germany;12/05/2005;17297244;96;English;Released;A hitman and a salesman walk into a bar...;The Matador;6.2;129;1;2;2
9516;3500000;Drama|Action|Crime;tt0107554;en;Menace II Society;Menace II Society is a coming of age tale detailing the summer after its protagonist Caine (Tyrin Turner) graduates from high school. This is Caine's story, which details real life in today's tough inner city.;0.957372;New Line Cinema;United States of America;26/05/1993;27900000;97;English;Released;This is the truth. This is what's real.;Menace II Society;7.1;161;1;1;1
9517;0;Crime|Drama;tt0242193;en;Bully;After finding himself at the constant abuse of his best friend Bobby, Marty has become fed up with his friend's twisted ways. His girlfriend, a victim of Bobby's often cruel ways, couldn't agree more and they strategize murdering Bobby.;1.088642;StudioCanal;United Kingdom;15/06/2001;480811;113;English;Released;It's 4 a.m... do you know where your kids are?;Bully;6.7;111;1;3;1
9519;0;Crime|Drama|Thriller;tt0221073;en;Chopper;The true and intense story of Mark 'Chopper' Read, a legendary criminal who wrote his autobiography while serving a jail sentence in prison.;2.377828;Pariah Entertainment Group;Australia;21/06/2000;236185;94;English;Released;Never let the truth get in the way of a good yarn!;Chopper;6.8;101;3;1;1
9520;0;Adventure;tt0430674;en;The Thief Lord;A tale about two young boys, Prosper and Bo, who flee to Venice after being orphaned and dumped in the care of a cruel auntie. Hiding in the canals and alleyways of the city, the boys are befriended by a gang of young urchins and their enigmatic leader, the Thief Lord. From their home base of an old cinema theater, the children steal from the rich to support themselves and soon capture the interest of a bumbling detective. However, a greater threat to the children is something from a forgotten past - a beautiful magical treasure with the power to spin time itself;0.129749;Delux Productions;Germany;04/01/2006;0;98;English;Released;Magic is just around the corner.;The Thief Lord;6.0;47;5;3;1
9522;40000000;Comedy|Romance;tt0396269;en;Wedding Crashers;John and his buddy, Jeremy are emotional criminals who know how to use a woman's hopes and dreams for their own carnal gain. Their modus operandi: crashing weddings. Normally, they meet guests who want to toast the romantic day with a random hook-up. But when John meets Claire, he discovers what true love – and heartache – feels like.;3.497527;New Line Cinema;United States of America;14/07/2005;285176741;119;English;Released;Life's a Party. Crash It.;Wedding Crashers;6.4;1286;3;1;1
9523;0;Crime|Drama|Mystery|Thriller;tt0259393;en;Lantana;Plagued with grief over the murder of her daughter, Valerie Somers suspects that her husband John is cheating on her. When Valerie disappears, Detective Leon Zat attempts to solve the mystery of her absence. A complex web of love, sex and deceit emerges -- drawing in four related couples whose various partners are distrustful and suspicious about each other's involvement.;0.49456;Australian Film Finance Corporation (AFFC);Australia;04/10/2001;0;121;English;Released;Sometimes love isn't enough.;Lantana;6.4;51;4;2;1
9524;0;Music|Drama;tt0128133;de;Comedian Harmonists;"Comedian Harmonists tells the story of a famous, German male sextet, five vocals and piano, the ""Comedian Harmonists"", from the day they meet first in 1927 to the day in 1934, when they become banned by the upcoming Nazis, because three of them are Jewish.";0.033582;Beta Film;Austria;25/12/1997;0;126;English;Released;;Comedian Harmonists;6.6;12;1;2;2
9526;10000000;Drama|Comedy|Music;tt0420087;en;A Prairie Home Companion;A look at what goes on backstage during the last broadcast of America's most celebrated radio show, where singing cowboys Dusty and Lefty, a country music siren, and a host of others hold court;1.272709;River Road Entertainment;United States of America;09/06/2006;0;105;English;Released;Radio Like You've Never Seen It Before;A Prairie Home Companion;6.5;76;5;1;2
9527;0;Comedy;tt0118678;de;Ballermann 6;No overview found.;0.4679;Constantin Film;Germany;16/10/1997;0;95;Deutsch;Released;The movie the nation waits for!;Ballermann 6;4.5;10;1;1;1
9528;0;Drama|Romance;tt0377084;en;Ladies in Lavender;Andrea, a gifted young Polish violinist from Krakow, is bound for America when he is swept overboard by a storm. When the Widdington sisters discover the handsome stranger on the beach below their house, they nurse him back to health. However, the presence of the musically talented young man disrupts the peaceful lives of Ursula and Janet and the community in which they live.;0.256308;none;United Kingdom;14/06/2004;20377075;104;English;Released;;Ladies in Lavender;6.5;35;0;1;4
9529;6000000;Drama|Horror|Thriller;tt0103919;en;Candyman;The Candyman, a murderous soul with a hook for a hand, is accidentally summoned to reality by a skeptic grad student researching the monster's myth.;2.015898;Propaganda Films;United States of America;16/10/1992;25792310;99;English;Released;You don't have to believe... just beware.;Candyman;6.2;274;3;1;1
